"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"American Samoa","Electricity - total solar production","2014","Kilowatt-hours, million","1.1","1"
"American Samoa","Electricity - total solar production","2013","Kilowatt-hours, million","1.1","1"
"American Samoa","Electricity - total solar production","2012","Kilowatt-hours, million","1.1",""
"Argentina","Electricity - total solar production","2014","Kilowatt-hours, million","16",""
"Argentina","Electricity - total solar production","2013","Kilowatt-hours, million","15",""
"Argentina","Electricity - total solar production","2012","Kilowatt-hours, million","8",""
"Argentina","Electricity - total solar production","2011","Kilowatt-hours, million","2",""
"Argentina","Electricity - total solar production","2010","Kilowatt-hours, million","0.09",""
"Argentina","Electricity - total solar production","2009","Kilowatt-hours, million","0.08",""
"Australia","Electricity - total solar production","2014","Kilowatt-hours, million","4858",""
"Australia","Electricity - total solar production","2013","Kilowatt-hours, million","3826",""
"Australia","Electricity - total solar production","2012","Kilowatt-hours, million","2559",""
"Australia","Electricity - total solar production","2011","Kilowatt-hours, million","1530",""
"Australia","Electricity - total solar production","2010","Kilowatt-hours, million","426",""
"Australia","Electricity - total solar production","2009","Kilowatt-hours, million","160",""
"Australia","Electricity - total solar production","2008","Kilowatt-hours, million","127",""
"Australia","Electricity - total solar production","2007","Kilowatt-hours, million","109",""
"Australia","Electricity - total solar production","2006","Kilowatt-hours, million","91",""
"Australia","Electricity - total solar production","2005","Kilowatt-hours, million","79",""
"Australia","Electricity - total solar production","2004","Kilowatt-hours, million","69",""
"Australia","Electricity - total solar production","2003","Kilowatt-hours, million","59",""
"Australia","Electricity - total solar production","2002","Kilowatt-hours, million","50",""
"Australia","Electricity - total solar production","2001","Kilowatt-hours, million","44",""
"Australia","Electricity - total solar production","2000","Kilowatt-hours, million","38",""
"Australia","Electricity - total solar production","1999","Kilowatt-hours, million","34",""
"Australia","Electricity - total solar production","1998","Kilowatt-hours, million","28",""
"Australia","Electricity - total solar production","1997","Kilowatt-hours, million","23",""
"Australia","Electricity - total solar production","1996","Kilowatt-hours, million","19",""
"Australia","Electricity - total solar production","1995","Kilowatt-hours, million","16",""
"Australia","Electricity - total solar production","1994","Kilowatt-hours, million","13",""
"Australia","Electricity - total solar production","1993","Kilowatt-hours, million","11",""
"Austria","Electricity - total solar production","2014","Kilowatt-hours, million","785",""
"Austria","Electricity - total solar production","2013","Kilowatt-hours, million","582",""
"Austria","Electricity - total solar production","2012","Kilowatt-hours, million","337",""
"Austria","Electricity - total solar production","2011","Kilowatt-hours, million","174",""
"Austria","Electricity - total solar production","2010","Kilowatt-hours, million","89",""
"Austria","Electricity - total solar production","2009","Kilowatt-hours, million","49",""
"Austria","Electricity - total solar production","2008","Kilowatt-hours, million","30",""
"Austria","Electricity - total solar production","2007","Kilowatt-hours, million","24",""
"Austria","Electricity - total solar production","2006","Kilowatt-hours, million","22",""
"Austria","Electricity - total solar production","2005","Kilowatt-hours, million","21",""
"Austria","Electricity - total solar production","2004","Kilowatt-hours, million","18",""
"Austria","Electricity - total solar production","2003","Kilowatt-hours, million","15",""
"Austria","Electricity - total solar production","2002","Kilowatt-hours, million","9",""
"Austria","Electricity - total solar production","2001","Kilowatt-hours, million","5",""
"Austria","Electricity - total solar production","2000","Kilowatt-hours, million","3",""
"Austria","Electricity - total solar production","1999","Kilowatt-hours, million","2",""
"Austria","Electricity - total solar production","1998","Kilowatt-hours, million","2",""
"Austria","Electricity - total solar production","1997","Kilowatt-hours, million","2",""
"Austria","Electricity - total solar production","1996","Kilowatt-hours, million","1",""
"Austria","Electricity - total solar production","1995","Kilowatt-hours, million","1",""
"Austria","Electricity - total solar production","1994","Kilowatt-hours, million","1",""
"Austria","Electricity - total solar production","1993","Kilowatt-hours, million","1",""
"Azerbaijan","Electricity - total solar production","2014","Kilowatt-hours, million","3",""
"Azerbaijan","Electricity - total solar production","2013","Kilowatt-hours, million","1",""
"Bangladesh","Electricity - total solar production","2014","Kilowatt-hours, million","145",""
"Bangladesh","Electricity - total solar production","2013","Kilowatt-hours, million","145",""
"Belarus","Electricity - total solar production","2014","Kilowatt-hours, million","1",""
"Belgium","Electricity - total solar production","2014","Kilowatt-hours, million","2883",""
"Belgium","Electricity - total solar production","2013","Kilowatt-hours, million","2644",""
"Belgium","Electricity - total solar production","2012","Kilowatt-hours, million","2148",""
"Belgium","Electricity - total solar production","2011","Kilowatt-hours, million","1169",""
"Belgium","Electricity - total solar production","2010","Kilowatt-hours, million","560",""
"Belgium","Electricity - total solar production","2009","Kilowatt-hours, million","166",""
"Belgium","Electricity - total solar production","2008","Kilowatt-hours, million","42",""
"Belgium","Electricity - total solar production","2007","Kilowatt-hours, million","6",""
"Belgium","Electricity - total solar production","2006","Kilowatt-hours, million","2",""
"Belgium","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Belgium","Electricity - total solar production","2004","Kilowatt-hours, million","1",""
"Bolivia (Plur. State of)","Electricity - total solar production","2014","Kilowatt-hours, million","6",""
"Bolivia (Plur. State of)","Electricity - total solar production","2013","Kilowatt-hours, million","3",""
"Bolivia (Plur. State of)","Electricity - total solar production","2012","Kilowatt-hours, million","3",""
"Bolivia (Plur. State of)","Electricity - total solar production","2011","Kilowatt-hours, million","3",""
"Bolivia (Plur. State of)","Electricity - total solar production","2010","Kilowatt-hours, million","3",""
"Bolivia (Plur. State of)","Electricity - total solar production","2009","Kilowatt-hours, million","2",""
"Bolivia (Plur. State of)","Electricity - total solar production","2008","Kilowatt-hours, million","1",""
"Botswana","Electricity - total solar production","2014","Kilowatt-hours, million","2","1"
"Botswana","Electricity - total solar production","2013","Kilowatt-hours, million","1.3",""
"Botswana","Electricity - total solar production","2012","Kilowatt-hours, million","1.3",""
"Brazil","Electricity - total solar production","2014","Kilowatt-hours, million","16",""
"Brazil","Electricity - total solar production","2013","Kilowatt-hours, million","7",""
"Brunei Darussalam","Electricity - total solar production","2014","Kilowatt-hours, million","2",""
"Brunei Darussalam","Electricity - total solar production","2013","Kilowatt-hours, million","2",""
"Brunei Darussalam","Electricity - total solar production","2012","Kilowatt-hours, million","2",""
"Brunei Darussalam","Electricity - total solar production","2011","Kilowatt-hours, million","2",""
"Bulgaria","Electricity - total solar production","2014","Kilowatt-hours, million","1252",""
"Bulgaria","Electricity - total solar production","2013","Kilowatt-hours, million","1361",""
"Bulgaria","Electricity - total solar production","2012","Kilowatt-hours, million","814",""
"Bulgaria","Electricity - total solar production","2011","Kilowatt-hours, million","101",""
"Bulgaria","Electricity - total solar production","2010","Kilowatt-hours, million","15",""
"Bulgaria","Electricity - total solar production","2009","Kilowatt-hours, million","3",""
"Cabo Verde","Electricity - total solar production","2014","Kilowatt-hours, million","5.02",""
"Cabo Verde","Electricity - total solar production","2013","Kilowatt-hours, million","7.28",""
"Cabo Verde","Electricity - total solar production","2012","Kilowatt-hours, million","7.49",""
"Cabo Verde","Electricity - total solar production","2011","Kilowatt-hours, million","8.96",""
"Cabo Verde","Electricity - total solar production","2010","Kilowatt-hours, million","2.11",""
"Cabo Verde","Electricity - total solar production","2009","Kilowatt-hours, million","0",""
"Cabo Verde","Electricity - total solar production","2008","Kilowatt-hours, million","0",""
"Cabo Verde","Electricity - total solar production","2007","Kilowatt-hours, million","0",""
"Cambodia","Electricity - total solar production","2014","Kilowatt-hours, million","3",""
"Cambodia","Electricity - total solar production","2013","Kilowatt-hours, million","3",""
"Cambodia","Electricity - total solar production","2012","Kilowatt-hours, million","3",""
"Cambodia","Electricity - total solar production","2011","Kilowatt-hours, million","3",""
"Cambodia","Electricity - total solar production","2010","Kilowatt-hours, million","3",""
"Cambodia","Electricity - total solar production","2009","Kilowatt-hours, million","2",""
"Cambodia","Electricity - total solar production","2008","Kilowatt-hours, million","2",""
"Cambodia","Electricity - total solar production","2007","Kilowatt-hours, million","2",""
"Cambodia","Electricity - total solar production","2006","Kilowatt-hours, million","2",""
"Cambodia","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Canada","Electricity - total solar production","2014","Kilowatt-hours, million","1756",""
"Canada","Electricity - total solar production","2013","Kilowatt-hours, million","1499",""
"Canada","Electricity - total solar production","2012","Kilowatt-hours, million","319",""
"Canada","Electricity - total solar production","2011","Kilowatt-hours, million","260",""
"Canada","Electricity - total solar production","2010","Kilowatt-hours, million","117",""
"Canada","Electricity - total solar production","2009","Kilowatt-hours, million","5",""
"Canada","Electricity - total solar production","2008","Kilowatt-hours, million","35",""
"Canada","Electricity - total solar production","2007","Kilowatt-hours, million","26",""
"Canada","Electricity - total solar production","2006","Kilowatt-hours, million","21",""
"Canada","Electricity - total solar production","2005","Kilowatt-hours, million","17",""
"Canada","Electricity - total solar production","2004","Kilowatt-hours, million","13",""
"Canada","Electricity - total solar production","2003","Kilowatt-hours, million","23",""
"Canada","Electricity - total solar production","2002","Kilowatt-hours, million","22",""
"Canada","Electricity - total solar production","2001","Kilowatt-hours, million","19",""
"Canada","Electricity - total solar production","2000","Kilowatt-hours, million","16",""
"Canada","Electricity - total solar production","1999","Kilowatt-hours, million","13",""
"Canada","Electricity - total solar production","1998","Kilowatt-hours, million","10",""
"Canada","Electricity - total solar production","1997","Kilowatt-hours, million","7",""
"Canada","Electricity - total solar production","1996","Kilowatt-hours, million","6",""
"Canada","Electricity - total solar production","1995","Kilowatt-hours, million","4",""
"Canada","Electricity - total solar production","1994","Kilowatt-hours, million","3",""
"Canada","Electricity - total solar production","1993","Kilowatt-hours, million","3",""
"Canada","Electricity - total solar production","1992","Kilowatt-hours, million","2",""
"Chile","Electricity - total solar production","2014","Kilowatt-hours, million","489",""
"Chile","Electricity - total solar production","2013","Kilowatt-hours, million","8",""
"Chile","Electricity - total solar production","2012","Kilowatt-hours, million","0",""
"Chile","Electricity - total solar production","2011","Kilowatt-hours, million","0",""
"China","Electricity - total solar production","2014","Kilowatt-hours, million","15189",""
"China","Electricity - total solar production","2013","Kilowatt-hours, million","5564",""
"Costa Rica","Electricity - total solar production","2014","Kilowatt-hours, million","3",""
"Costa Rica","Electricity - total solar production","2013","Kilowatt-hours, million","3",""
"Costa Rica","Electricity - total solar production","2012","Kilowatt-hours, million","1.29722222222222",""
"Costa Rica","Electricity - total solar production","2011","Kilowatt-hours, million","0.480555555555556",""
"Costa Rica","Electricity - total solar production","2010","Kilowatt-hours, million","0.258333",""
"Costa Rica","Electricity - total solar production","2009","Kilowatt-hours, million","0.177777777777778",""
"Costa Rica","Electricity - total solar production","2008","Kilowatt-hours, million","0.177777777777778",""
"Costa Rica","Electricity - total solar production","2007","Kilowatt-hours, million","0.177777777777778",""
"Costa Rica","Electricity - total solar production","2006","Kilowatt-hours, million","0.177777777777778",""
"Costa Rica","Electricity - total solar production","2005","Kilowatt-hours, million","0.172222222222222",""
"Costa Rica","Electricity - total solar production","1997","Kilowatt-hours, million","76",""
"Costa Rica","Electricity - total solar production","1996","Kilowatt-hours, million","23",""
"Costa Rica","Electricity - total solar production","1995","Kilowatt-hours, million","23","1"
"Croatia","Electricity - total solar production","2014","Kilowatt-hours, million","35",""
"Croatia","Electricity - total solar production","2013","Kilowatt-hours, million","11",""
"Croatia","Electricity - total solar production","2012","Kilowatt-hours, million","2",""
"Croatia","Electricity - total solar production","2011","Kilowatt-hours, million","0",""
"Croatia","Electricity - total solar production","2010","Kilowatt-hours, million","0",""
"Croatia","Electricity - total solar production","2009","Kilowatt-hours, million","0",""
"Croatia","Electricity - total solar production","2008","Kilowatt-hours, million","0",""
"Croatia","Electricity - total solar production","2007","Kilowatt-hours, million","0",""
"Cyprus","Electricity - total solar production","2014","Kilowatt-hours, million","84",""
"Cyprus","Electricity - total solar production","2013","Kilowatt-hours, million","47",""
"Cyprus","Electricity - total solar production","2012","Kilowatt-hours, million","22",""
"Cyprus","Electricity - total solar production","2011","Kilowatt-hours, million","12",""
"Cyprus","Electricity - total solar production","2010","Kilowatt-hours, million","7",""
"Cyprus","Electricity - total solar production","2009","Kilowatt-hours, million","4",""
"Cyprus","Electricity - total solar production","2008","Kilowatt-hours, million","3",""
"Cyprus","Electricity - total solar production","2007","Kilowatt-hours, million","2",""
"Cyprus","Electricity - total solar production","2006","Kilowatt-hours, million","1",""
"Cyprus","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Czechia","Electricity - total solar production","2014","Kilowatt-hours, million","2123",""
"Czechia","Electricity - total solar production","2013","Kilowatt-hours, million","2033",""
"Czechia","Electricity - total solar production","2012","Kilowatt-hours, million","2149",""
"Czechia","Electricity - total solar production","2011","Kilowatt-hours, million","2182",""
"Czechia","Electricity - total solar production","2010","Kilowatt-hours, million","616",""
"Czechia","Electricity - total solar production","2009","Kilowatt-hours, million","89",""
"Czechia","Electricity - total solar production","2008","Kilowatt-hours, million","13",""
"Czechia","Electricity - total solar production","2007","Kilowatt-hours, million","2",""
"Czechia","Electricity - total solar production","2006","Kilowatt-hours, million","1",""
"Denmark","Electricity - total solar production","2014","Kilowatt-hours, million","596",""
"Denmark","Electricity - total solar production","2013","Kilowatt-hours, million","518",""
"Denmark","Electricity - total solar production","2012","Kilowatt-hours, million","104",""
"Denmark","Electricity - total solar production","2011","Kilowatt-hours, million","15",""
"Denmark","Electricity - total solar production","2010","Kilowatt-hours, million","6",""
"Denmark","Electricity - total solar production","2009","Kilowatt-hours, million","4",""
"Denmark","Electricity - total solar production","2008","Kilowatt-hours, million","3",""
"Denmark","Electricity - total solar production","2007","Kilowatt-hours, million","2",""
"Denmark","Electricity - total solar production","2006","Kilowatt-hours, million","2",""
"Denmark","Electricity - total solar production","2005","Kilowatt-hours, million","2",""
"Denmark","Electricity - total solar production","2004","Kilowatt-hours, million","2",""
"Denmark","Electricity - total solar production","2003","Kilowatt-hours, million","2",""
"Denmark","Electricity - total solar production","2002","Kilowatt-hours, million","1",""
"Denmark","Electricity - total solar production","2001","Kilowatt-hours, million","1",""
"Denmark","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Denmark","Electricity - total solar production","1999","Kilowatt-hours, million","1",""
"Ecuador","Electricity - total solar production","2014","Kilowatt-hours, million","16.5",""
"Ecuador","Electricity - total solar production","2013","Kilowatt-hours, million","3.7",""
"Ecuador","Electricity - total solar production","2012","Kilowatt-hours, million","0.3",""
"Ecuador","Electricity - total solar production","2011","Kilowatt-hours, million","0.1",""
"Egypt","Electricity - total solar production","2014","Kilowatt-hours, million","247",""
"Egypt","Electricity - total solar production","2013","Kilowatt-hours, million","114",""
"Egypt","Electricity - total solar production","2012","Kilowatt-hours, million","237",""
"Egypt","Electricity - total solar production","2011","Kilowatt-hours, million","479",""
"Egypt","Electricity - total solar production","2010","Kilowatt-hours, million","206",""
"Eritrea","Electricity - total solar production","2014","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2013","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2012","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2011","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2010","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2009","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2008","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2007","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2006","Kilowatt-hours, million","2",""
"Eritrea","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","2004","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","2003","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","2002","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","2001","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","2000","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","1999","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","1998","Kilowatt-hours, million","1",""
"Eritrea","Electricity - total solar production","1997","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","2014","Kilowatt-hours, million","8",""
"Finland","Electricity - total solar production","2013","Kilowatt-hours, million","12",""
"Finland","Electricity - total solar production","2012","Kilowatt-hours, million","11",""
"Finland","Electricity - total solar production","2011","Kilowatt-hours, million","10",""
"Finland","Electricity - total solar production","2010","Kilowatt-hours, million","10",""
"Finland","Electricity - total solar production","2009","Kilowatt-hours, million","4",""
"Finland","Electricity - total solar production","2008","Kilowatt-hours, million","4",""
"Finland","Electricity - total solar production","2007","Kilowatt-hours, million","4",""
"Finland","Electricity - total solar production","2006","Kilowatt-hours, million","3",""
"Finland","Electricity - total solar production","2005","Kilowatt-hours, million","3",""
"Finland","Electricity - total solar production","2004","Kilowatt-hours, million","2",""
"Finland","Electricity - total solar production","2003","Kilowatt-hours, million","2",""
"Finland","Electricity - total solar production","2002","Kilowatt-hours, million","2",""
"Finland","Electricity - total solar production","2001","Kilowatt-hours, million","2",""
"Finland","Electricity - total solar production","2000","Kilowatt-hours, million","2",""
"Finland","Electricity - total solar production","1999","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1998","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1997","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1996","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1995","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1994","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1993","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1992","Kilowatt-hours, million","1",""
"Finland","Electricity - total solar production","1991","Kilowatt-hours, million","1",""
"France","Electricity - total solar production","2014","Kilowatt-hours, million","5909",""
"France","Electricity - total solar production","2013","Kilowatt-hours, million","4735",""
"France","Electricity - total solar production","2012","Kilowatt-hours, million","4016",""
"France","Electricity - total solar production","2011","Kilowatt-hours, million","2078",""
"France","Electricity - total solar production","2010","Kilowatt-hours, million","620",""
"France","Electricity - total solar production","2009","Kilowatt-hours, million","174",""
"France","Electricity - total solar production","2008","Kilowatt-hours, million","42",""
"France","Electricity - total solar production","2007","Kilowatt-hours, million","27",""
"France","Electricity - total solar production","2006","Kilowatt-hours, million","16",""
"France","Electricity - total solar production","2005","Kilowatt-hours, million","13",""
"France","Electricity - total solar production","2004","Kilowatt-hours, million","9",""
"France","Electricity - total solar production","2003","Kilowatt-hours, million","8",""
"France","Electricity - total solar production","2002","Kilowatt-hours, million","7",""
"France","Electricity - total solar production","2001","Kilowatt-hours, million","6",""
"France","Electricity - total solar production","2000","Kilowatt-hours, million","5",""
"France","Electricity - total solar production","1999","Kilowatt-hours, million","2",""
"France","Electricity - total solar production","1998","Kilowatt-hours, million","2",""
"France","Electricity - total solar production","1997","Kilowatt-hours, million","2",""
"France","Electricity - total solar production","1996","Kilowatt-hours, million","1",""
"France","Electricity - total solar production","1995","Kilowatt-hours, million","1",""
"France","Electricity - total solar production","1994","Kilowatt-hours, million","1",""
"French Guiana","Electricity - total solar production","2014","Kilowatt-hours, million","51",""
"French Guiana","Electricity - total solar production","2013","Kilowatt-hours, million","44",""
"French Guiana","Electricity - total solar production","2012","Kilowatt-hours, million","52",""
"French Guiana","Electricity - total solar production","2011","Kilowatt-hours, million","31",""
"French Guiana","Electricity - total solar production","2010","Kilowatt-hours, million","1",""
"French Polynesia","Electricity - total solar production","2014","Kilowatt-hours, million","10","1"
"French Polynesia","Electricity - total solar production","2013","Kilowatt-hours, million","7","1"
"French Polynesia","Electricity - total solar production","2012","Kilowatt-hours, million","6","1"
"French Polynesia","Electricity - total solar production","2011","Kilowatt-hours, million","3.367","1"
"French Polynesia","Electricity - total solar production","2010","Kilowatt-hours, million","3.4","1"
"French Polynesia","Electricity - total solar production","2009","Kilowatt-hours, million","3.404",""
"French Polynesia","Electricity - total solar production","2008","Kilowatt-hours, million","3.13",""
"Gabon","Electricity - total solar production","2014","Kilowatt-hours, million","2",""
"Gabon","Electricity - total solar production","2013","Kilowatt-hours, million","2",""
"Gabon","Electricity - total solar production","2012","Kilowatt-hours, million","3",""
"Germany","Electricity - total solar production","2014","Kilowatt-hours, million","36056",""
"Germany","Electricity - total solar production","2013","Kilowatt-hours, million","31010",""
"Germany","Electricity - total solar production","2012","Kilowatt-hours, million","26380",""
"Germany","Electricity - total solar production","2011","Kilowatt-hours, million","19599",""
"Germany","Electricity - total solar production","2010","Kilowatt-hours, million","11729",""
"Germany","Electricity - total solar production","2009","Kilowatt-hours, million","6584",""
"Germany","Electricity - total solar production","2008","Kilowatt-hours, million","4420",""
"Germany","Electricity - total solar production","2007","Kilowatt-hours, million","3075",""
"Germany","Electricity - total solar production","2006","Kilowatt-hours, million","2220",""
"Germany","Electricity - total solar production","2005","Kilowatt-hours, million","1282",""
"Germany","Electricity - total solar production","2004","Kilowatt-hours, million","557",""
"Germany","Electricity - total solar production","2003","Kilowatt-hours, million","313",""
"Germany","Electricity - total solar production","2002","Kilowatt-hours, million","188",""
"Germany","Electricity - total solar production","2001","Kilowatt-hours, million","116",""
"Germany","Electricity - total solar production","2000","Kilowatt-hours, million","60",""
"Germany","Electricity - total solar production","1999","Kilowatt-hours, million","30",""
"Germany","Electricity - total solar production","1998","Kilowatt-hours, million","35",""
"Germany","Electricity - total solar production","1997","Kilowatt-hours, million","18",""
"Germany","Electricity - total solar production","1996","Kilowatt-hours, million","12",""
"Germany","Electricity - total solar production","1995","Kilowatt-hours, million","7",""
"Germany","Electricity - total solar production","1994","Kilowatt-hours, million","7",""
"Germany","Electricity - total solar production","1993","Kilowatt-hours, million","3",""
"Germany","Electricity - total solar production","1992","Kilowatt-hours, million","4",""
"Germany","Electricity - total solar production","1991","Kilowatt-hours, million","1",""
"Greece","Electricity - total solar production","2014","Kilowatt-hours, million","3792",""
"Greece","Electricity - total solar production","2013","Kilowatt-hours, million","3648",""
"Greece","Electricity - total solar production","2012","Kilowatt-hours, million","1694",""
"Greece","Electricity - total solar production","2011","Kilowatt-hours, million","610",""
"Greece","Electricity - total solar production","2010","Kilowatt-hours, million","158",""
"Greece","Electricity - total solar production","2009","Kilowatt-hours, million","50",""
"Greece","Electricity - total solar production","2008","Kilowatt-hours, million","5",""
"Greece","Electricity - total solar production","2007","Kilowatt-hours, million","1",""
"Greece","Electricity - total solar production","2006","Kilowatt-hours, million","1",""
"Greece","Electricity - total solar production","2005","Kilowatt-hours, million","1",""
"Greece","Electricity - total solar production","2004","Kilowatt-hours, million","1",""
"Guadeloupe","Electricity - total solar production","2014","Kilowatt-hours, million","95",""
"Guadeloupe","Electricity - total solar production","2013","Kilowatt-hours, million","99",""
"Guadeloupe","Electricity - total solar production","2012","Kilowatt-hours, million","91",""
"Guadeloupe","Electricity - total solar production","2011","Kilowatt-hours, million","94","1"
"Guadeloupe","Electricity - total solar production","2010","Kilowatt-hours, million","55","1"
"Guadeloupe","Electricity - total solar production","2009","Kilowatt-hours, million","40","1"
