"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Guadeloupe","Electricity - total solar production","2008","Kilowatt-hours, million","3","1"
"Guadeloupe","Electricity - total solar production","2007","Kilowatt-hours, million","3","1"
"Guadeloupe","Electricity - total solar production","2006","Kilowatt-hours, million","3","1"
"Guadeloupe","Electricity - total solar production","2005","Kilowatt-hours, million","3","1"
"Guatemala","Electricity - total solar production","2014","Kilowatt-hours, million","7",""
"Hungary","Electricity - total solar production","2014","Kilowatt-hours, million","56",""
"Hungary","Electricity - total solar production","2013","Kilowatt-hours, million","25",""
"Hungary","Electricity - total solar production","2012","Kilowatt-hours, million","8",""
"Hungary","Electricity - total solar production","2011","Kilowatt-hours, million","1",""
"Hungary","Electricity - total solar production","2010","Kilowatt-hours, million","1",""
"Hungary","Electricity - total solar production","2009","Kilowatt-hours, million","1",""
"Hungary","Electricity - total solar production","2008","Kilowatt-hours, million","1",""
"India","Electricity - total solar production","2014","Kilowatt-hours, million","5020",""
"India","Electricity - total solar production","2013","Kilowatt-hours, million","3433",""
"Indonesia","Electricity - total solar production","2014","Kilowatt-hours, million","6.8",""
"Indonesia","Electricity - total solar production","2013","Kilowatt-hours, million","5.5",""
"Indonesia","Electricity - total solar production","2012","Kilowatt-hours, million","2.9",""
"Indonesia","Electricity - total solar production","2011","Kilowatt-hours, million","1",""
"Indonesia","Electricity - total solar production","2010","Kilowatt-hours, million","0.5",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2013","Kilowatt-hours, million","0.07",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2012","Kilowatt-hours, million","0.06",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2011","Kilowatt-hours, million","0.05",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2010","Kilowatt-hours, million","0.09",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2009","Kilowatt-hours, million","0.07",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2008","Kilowatt-hours, million","0.08",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2007","Kilowatt-hours, million","0.07",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2006","Kilowatt-hours, million","0.08",""
"Iran (Islamic Rep. of)","Electricity - total solar production","2005","Kilowatt-hours, million","0.05",""
"Ireland","Electricity - total solar production","2014","Kilowatt-hours, million","1",""
"Ireland","Electricity - total solar production","2013","Kilowatt-hours, million","1",""
"Ireland","Electricity - total solar production","2012","Kilowatt-hours, million","1",""
"Ireland","Electricity - total solar production","2011","Kilowatt-hours, million","1",""
"Israel","Electricity - total solar production","2014","Kilowatt-hours, million","840",""
"Israel","Electricity - total solar production","2013","Kilowatt-hours, million","494",""
"Israel","Electricity - total solar production","2012","Kilowatt-hours, million","369",""
"Israel","Electricity - total solar production","2011","Kilowatt-hours, million","192",""
"Israel","Electricity - total solar production","2010","Kilowatt-hours, million","70",""
"Israel","Electricity - total solar production","2009","Kilowatt-hours, million","24",""
"Italy","Electricity - total solar production","2014","Kilowatt-hours, million","22306",""
"Italy","Electricity - total solar production","2013","Kilowatt-hours, million","21589",""
"Italy","Electricity - total solar production","2012","Kilowatt-hours, million","18862",""
"Italy","Electricity - total solar production","2011","Kilowatt-hours, million","10796",""
"Italy","Electricity - total solar production","2010","Kilowatt-hours, million","1906",""
"Italy","Electricity - total solar production","2009","Kilowatt-hours, million","676",""
"Italy","Electricity - total solar production","2008","Kilowatt-hours, million","193",""
"Italy","Electricity - total solar production","2007","Kilowatt-hours, million","38",""
"Italy","Electricity - total solar production","2006","Kilowatt-hours, million","35",""
"Italy","Electricity - total solar production","2005","Kilowatt-hours, million","31",""
"Italy","Electricity - total solar production","2004","Kilowatt-hours, million","29",""
"Italy","Electricity - total solar production","2003","Kilowatt-hours, million","24",""
"Italy","Electricity - total solar production","2002","Kilowatt-hours, million","21",""
"Italy","Electricity - total solar production","2001","Kilowatt-hours, million","19",""
"Italy","Electricity - total solar production","2000","Kilowatt-hours, million","18",""
"Italy","Electricity - total solar production","1999","Kilowatt-hours, million","17",""
"Italy","Electricity - total solar production","1998","Kilowatt-hours, million","16",""
"Italy","Electricity - total solar production","1997","Kilowatt-hours, million","15",""
"Italy","Electricity - total solar production","1996","Kilowatt-hours, million","14",""
"Italy","Electricity - total solar production","1995","Kilowatt-hours, million","13",""
"Italy","Electricity - total solar production","1994","Kilowatt-hours, million","11",""
"Italy","Electricity - total solar production","1993","Kilowatt-hours, million","11",""
"Italy","Electricity - total solar production","1992","Kilowatt-hours, million","9",""
"Italy","Electricity - total solar production","1991","Kilowatt-hours, million","5",""
"Italy","Electricity - total solar production","1990","Kilowatt-hours, million","4",""
"Japan","Electricity - total solar production","2014","Kilowatt-hours, million","24506",""
"Japan","Electricity - total solar production","2013","Kilowatt-hours, million","14279",""
"Japan","Electricity - total solar production","2012","Kilowatt-hours, million","6963",""
"Japan","Electricity - total solar production","2011","Kilowatt-hours, million","5160",""
"Japan","Electricity - total solar production","2010","Kilowatt-hours, million","3800",""
"Japan","Electricity - total solar production","2009","Kilowatt-hours, million","2758",""
"Japan","Electricity - total solar production","2008","Kilowatt-hours, million","2251",""
"Japan","Electricity - total solar production","2007","Kilowatt-hours, million","2015",""
"Japan","Electricity - total solar production","2006","Kilowatt-hours, million","1794",""
"Japan","Electricity - total solar production","2005","Kilowatt-hours, million","1493",""
"Japan","Electricity - total solar production","2004","Kilowatt-hours, million","1189",""
"Japan","Electricity - total solar production","2003","Kilowatt-hours, million","903",""
"Japan","Electricity - total solar production","2002","Kilowatt-hours, million","669",""
"Japan","Electricity - total solar production","2001","Kilowatt-hours, million","475",""
"Japan","Electricity - total solar production","2000","Kilowatt-hours, million","347",""
"Japan","Electricity - total solar production","1999","Kilowatt-hours, million","219",""
"Japan","Electricity - total solar production","1998","Kilowatt-hours, million","140",""
"Japan","Electricity - total solar production","1997","Kilowatt-hours, million","96",""
"Japan","Electricity - total solar production","1996","Kilowatt-hours, million","63",""
"Japan","Electricity - total solar production","1995","Kilowatt-hours, million","46",""
"Japan","Electricity - total solar production","1994","Kilowatt-hours, million","33",""
"Japan","Electricity - total solar production","1993","Kilowatt-hours, million","25",""
"Japan","Electricity - total solar production","1992","Kilowatt-hours, million","20",""
"Japan","Electricity - total solar production","1991","Kilowatt-hours, million","1",""
"Japan","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Kazakhstan","Electricity - total solar production","2014","Kilowatt-hours, million","1",""
"Kazakhstan","Electricity - total solar production","2013","Kilowatt-hours, million","1",""
"Korea, Republic of","Electricity - total solar production","2014","Kilowatt-hours, million","2557",""
"Korea, Republic of","Electricity - total solar production","2013","Kilowatt-hours, million","1605",""
"Korea, Republic of","Electricity - total solar production","2012","Kilowatt-hours, million","1103",""
"Korea, Republic of","Electricity - total solar production","2011","Kilowatt-hours, million","917",""
"Korea, Republic of","Electricity - total solar production","2010","Kilowatt-hours, million","772",""
"Korea, Republic of","Electricity - total solar production","2009","Kilowatt-hours, million","566",""
"Korea, Republic of","Electricity - total solar production","2008","Kilowatt-hours, million","285",""
"Korea, Republic of","Electricity - total solar production","2007","Kilowatt-hours, million","70",""
"Korea, Republic of","Electricity - total solar production","2006","Kilowatt-hours, million","31",""
"Korea, Republic of","Electricity - total solar production","2005","Kilowatt-hours, million","15",""
"Korea, Republic of","Electricity - total solar production","2004","Kilowatt-hours, million","10",""
"Korea, Republic of","Electricity - total solar production","2003","Kilowatt-hours, million","8",""
"Korea, Republic of","Electricity - total solar production","2002","Kilowatt-hours, million","7",""
"Korea, Republic of","Electricity - total solar production","2001","Kilowatt-hours, million","6",""
"Korea, Republic of","Electricity - total solar production","2000","Kilowatt-hours, million","5",""
"Korea, Republic of","Electricity - total solar production","1999","Kilowatt-hours, million","5",""
"Korea, Republic of","Electricity - total solar production","1998","Kilowatt-hours, million","4",""
"Korea, Republic of","Electricity - total solar production","1997","Kilowatt-hours, million","3",""
"Korea, Republic of","Electricity - total solar production","1996","Kilowatt-hours, million","3",""
"Korea, Republic of","Electricity - total solar production","1995","Kilowatt-hours, million","2",""
"Korea, Republic of","Electricity - total solar production","1994","Kilowatt-hours, million","2",""
"Korea, Republic of","Electricity - total solar production","1993","Kilowatt-hours, million","2",""
"Korea, Republic of","Electricity - total solar production","1992","Kilowatt-hours, million","2",""
"Korea, Republic of","Electricity - total solar production","1991","Kilowatt-hours, million","1",""
"Korea, Republic of","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Lao People's Dem. Rep.","Electricity - total solar production","2014","Kilowatt-hours, million","195","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2013","Kilowatt-hours, million","195","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2012","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2011","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2010","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2009","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2008","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2007","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2006","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2005","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2004","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2003","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2002","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2001","Kilowatt-hours, million","193.3","1"
"Lao People's Dem. Rep.","Electricity - total solar production","2000","Kilowatt-hours, million","193.3","1"
"Liechtenstein","Electricity - total solar production","2014","Kilowatt-hours, million","15.6",""
"Liechtenstein","Electricity - total solar production","2013","Kilowatt-hours, million","12.7",""
"Liechtenstein","Electricity - total solar production","2012","Kilowatt-hours, million","8.7",""
"Liechtenstein","Electricity - total solar production","2011","Kilowatt-hours, million","6.2",""
"Liechtenstein","Electricity - total solar production","2010","Kilowatt-hours, million","2.8",""
"Liechtenstein","Electricity - total solar production","2009","Kilowatt-hours, million","0.9",""
"Liechtenstein","Electricity - total solar production","2008","Kilowatt-hours, million","0.3",""
"Liechtenstein","Electricity - total solar production","2007","Kilowatt-hours, million","0.3",""
"Lithuania","Electricity - total solar production","2014","Kilowatt-hours, million","73",""
"Lithuania","Electricity - total solar production","2013","Kilowatt-hours, million","45",""
"Lithuania","Electricity - total solar production","2012","Kilowatt-hours, million","2",""
"Luxembourg","Electricity - total solar production","2014","Kilowatt-hours, million","95",""
"Luxembourg","Electricity - total solar production","2013","Kilowatt-hours, million","74",""
"Luxembourg","Electricity - total solar production","2012","Kilowatt-hours, million","38",""
"Luxembourg","Electricity - total solar production","2011","Kilowatt-hours, million","26",""
"Luxembourg","Electricity - total solar production","2010","Kilowatt-hours, million","21",""
"Luxembourg","Electricity - total solar production","2009","Kilowatt-hours, million","20",""
"Luxembourg","Electricity - total solar production","2008","Kilowatt-hours, million","20",""
"Luxembourg","Electricity - total solar production","2007","Kilowatt-hours, million","21",""
"Luxembourg","Electricity - total solar production","2006","Kilowatt-hours, million","21",""
"Luxembourg","Electricity - total solar production","2005","Kilowatt-hours, million","18",""
"Luxembourg","Electricity - total solar production","2004","Kilowatt-hours, million","9",""
"Luxembourg","Electricity - total solar production","2003","Kilowatt-hours, million","1",""
"Madagascar","Electricity - total solar production","2014","Kilowatt-hours, million","1","1"
"Madagascar","Electricity - total solar production","2013","Kilowatt-hours, million","1","1"
"Madagascar","Electricity - total solar production","2012","Kilowatt-hours, million","0.008",""
"Madagascar","Electricity - total solar production","2011","Kilowatt-hours, million","0.008",""
"Madagascar","Electricity - total solar production","2010","Kilowatt-hours, million","0.008",""
"Madagascar","Electricity - total solar production","2009","Kilowatt-hours, million","0.006",""
"Madagascar","Electricity - total solar production","2008","Kilowatt-hours, million","0.0071",""
"Malaysia","Electricity - total solar production","2014","Kilowatt-hours, million","227",""
"Malaysia","Electricity - total solar production","2013","Kilowatt-hours, million","141",""
"Malaysia","Electricity - total solar production","2012","Kilowatt-hours, million","47.743",""
"Malaysia","Electricity - total solar production","2011","Kilowatt-hours, million","0.681",""
"Malaysia","Electricity - total solar production","2010","Kilowatt-hours, million","0.681",""
"Maldives","Electricity - total solar production","2014","Kilowatt-hours, million","2","1"
"Maldives","Electricity - total solar production","2013","Kilowatt-hours, million","2","1"
"Maldives","Electricity - total solar production","2012","Kilowatt-hours, million","1.8",""
"Maldives","Electricity - total solar production","2011","Kilowatt-hours, million","0.92",""
"Maldives","Electricity - total solar production","2010","Kilowatt-hours, million","0.81",""
"Malta","Electricity - total solar production","2014","Kilowatt-hours, million","68",""
"Malta","Electricity - total solar production","2013","Kilowatt-hours, million","29",""
"Malta","Electricity - total solar production","2012","Kilowatt-hours, million","30",""
"Malta","Electricity - total solar production","2011","Kilowatt-hours, million","13",""
"Malta","Electricity - total solar production","2010","Kilowatt-hours, million","1",""
"Malta","Electricity - total solar production","2009","Kilowatt-hours, million","0",""
"Malta","Electricity - total solar production","2008","Kilowatt-hours, million","0",""
"Malta","Electricity - total solar production","2007","Kilowatt-hours, million","0",""
"Marshall Islands","Electricity - total solar production","2014","Kilowatt-hours, million","0.2","1"
"Marshall Islands","Electricity - total solar production","2013","Kilowatt-hours, million","0.2",""
"Marshall Islands","Electricity - total solar production","2012","Kilowatt-hours, million","0.2","1"
"Martinique","Electricity - total solar production","2014","Kilowatt-hours, million","44","1"
"Martinique","Electricity - total solar production","2013","Kilowatt-hours, million","44","1"
"Martinique","Electricity - total solar production","2012","Kilowatt-hours, million","42.9","1"
"Martinique","Electricity - total solar production","2011","Kilowatt-hours, million","42.9","1"
"Martinique","Electricity - total solar production","2010","Kilowatt-hours, million","42.9","1"
"Martinique","Electricity - total solar production","2009","Kilowatt-hours, million","45.292","1"
"Martinique","Electricity - total solar production","2008","Kilowatt-hours, million","39.5",""
"Martinique","Electricity - total solar production","2007","Kilowatt-hours, million","35.105",""
"Martinique","Electricity - total solar production","2006","Kilowatt-hours, million","33.012",""
"Martinique","Electricity - total solar production","2005","Kilowatt-hours, million","33.802",""
"Martinique","Electricity - total solar production","2004","Kilowatt-hours, million","31.064",""
"Martinique","Electricity - total solar production","2003","Kilowatt-hours, million","28.326",""
"Martinique","Electricity - total solar production","2002","Kilowatt-hours, million","32.965",""
"Martinique","Electricity - total solar production","2001","Kilowatt-hours, million","29.523",""
"Martinique","Electricity - total solar production","2000","Kilowatt-hours, million","25.907",""
"Martinique","Electricity - total solar production","1999","Kilowatt-hours, million","22.291",""
"Martinique","Electricity - total solar production","1998","Kilowatt-hours, million","1.605",""
"Martinique","Electricity - total solar production","1997","Kilowatt-hours, million","0.774",""
"Mauritius","Electricity - total solar production","2014","Kilowatt-hours, million","24.6",""
"Mauritius","Electricity - total solar production","2013","Kilowatt-hours, million","2.7",""
"Mauritius","Electricity - total solar production","2012","Kilowatt-hours, million","0.9",""
"Mayotte","Electricity - total solar production","2014","Kilowatt-hours, million","16.6",""
"Mayotte","Electricity - total solar production","2013","Kilowatt-hours, million","16.8",""
"Mayotte","Electricity - total solar production","2012","Kilowatt-hours, million","15.4",""
"Mayotte","Electricity - total solar production","2011","Kilowatt-hours, million","13.9",""
"Mayotte","Electricity - total solar production","2010","Kilowatt-hours, million","6.1",""
"Mayotte","Electricity - total solar production","2009","Kilowatt-hours, million","1.3",""
"Mayotte","Electricity - total solar production","2008","Kilowatt-hours, million","0.23",""
"Mexico","Electricity - total solar production","2014","Kilowatt-hours, million","221",""
"Mexico","Electricity - total solar production","2013","Kilowatt-hours, million","106",""
"Mexico","Electricity - total solar production","2012","Kilowatt-hours, million","69",""
"Mexico","Electricity - total solar production","2011","Kilowatt-hours, million","41",""
"Mexico","Electricity - total solar production","2010","Kilowatt-hours, million","31",""
"Mexico","Electricity - total solar production","2009","Kilowatt-hours, million","27",""
"Mexico","Electricity - total solar production","2008","Kilowatt-hours, million","19",""
"Mexico","Electricity - total solar production","2007","Kilowatt-hours, million","9",""
"Mexico","Electricity - total solar production","2006","Kilowatt-hours, million","10",""
"Mexico","Electricity - total solar production","2005","Kilowatt-hours, million","9",""
"Mexico","Electricity - total solar production","2004","Kilowatt-hours, million","9",""
"Mexico","Electricity - total solar production","2003","Kilowatt-hours, million","8",""
"Mexico","Electricity - total solar production","2002","Kilowatt-hours, million","8",""
"Mexico","Electricity - total solar production","2001","Kilowatt-hours, million","8",""
"Mexico","Electricity - total solar production","2000","Kilowatt-hours, million","7",""
"Mexico","Electricity - total solar production","1999","Kilowatt-hours, million","7",""
"Mexico","Electricity - total solar production","1998","Kilowatt-hours, million","7",""
"Mexico","Electricity - total solar production","1997","Kilowatt-hours, million","6",""
"Mexico","Electricity - total solar production","1996","Kilowatt-hours, million","6",""
"Mexico","Electricity - total solar production","1995","Kilowatt-hours, million","5",""
"Mexico","Electricity - total solar production","1994","Kilowatt-hours, million","5",""
"Mexico","Electricity - total solar production","1993","Kilowatt-hours, million","4",""
"Mexico","Electricity - total solar production","1992","Kilowatt-hours, million","3",""
"Mexico","Electricity - total solar production","1991","Kilowatt-hours, million","2",""
"Mexico","Electricity - total solar production","1990","Kilowatt-hours, million","1",""
"Micronesia (Fed. States of)","Electricity - total solar production","2014","Kilowatt-hours, million","2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2013","Kilowatt-hours, million","2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2012","Kilowatt-hours, million","2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2011","Kilowatt-hours, million","2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2010","Kilowatt-hours, million","2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2009","Kilowatt-hours, million","1.3","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2008","Kilowatt-hours, million","1.2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2007","Kilowatt-hours, million","1.2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2006","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2005","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2004","Kilowatt-hours, million","1.1","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2003","Kilowatt-hours, million","0.6","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2002","Kilowatt-hours, million","0.6","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2001","Kilowatt-hours, million","0.3","1"
"Micronesia (Fed. States of)","Electricity - total solar production","2000","Kilowatt-hours, million","0.3","1"
"Micronesia (Fed. States of)","Electricity - total solar production","1999","Kilowatt-hours, million","0.2","1"
"Micronesia (Fed. States of)","Electricity - total solar production","1998","Kilowatt-hours, million","0.2","1"
"Montenegro","Electricity - total solar production","2014","Kilowatt-hours, million","2",""
"Mozambique","Electricity - total solar production","2014","Kilowatt-hours, million","1.2",""
"Nauru","Electricity - total solar production","2014","Kilowatt-hours, million","0.054",""
"Nauru","Electricity - total solar production","2013","Kilowatt-hours, million","0.1","1"
"Nauru","Electricity - total solar production","2012","Kilowatt-hours, million","0.1","1"
"Nauru","Electricity - total solar production","2011","Kilowatt-hours, million","0.1","1"
"Nauru","Electricity - total solar production","2010","Kilowatt-hours, million","0.1","1"
"Nauru","Electricity - total solar production","2009","Kilowatt-hours, million","0.1","1"
"Netherlands","Electricity - total solar production","2014","Kilowatt-hours, million","785",""
"Netherlands","Electricity - total solar production","2013","Kilowatt-hours, million","487",""
"Netherlands","Electricity - total solar production","2012","Kilowatt-hours, million","226",""
"Netherlands","Electricity - total solar production","2011","Kilowatt-hours, million","104",""
"Netherlands","Electricity - total solar production","2010","Kilowatt-hours, million","56",""
"Netherlands","Electricity - total solar production","2009","Kilowatt-hours, million","45",""
"Netherlands","Electricity - total solar production","2008","Kilowatt-hours, million","39",""
"Netherlands","Electricity - total solar production","2007","Kilowatt-hours, million","37",""
"Netherlands","Electricity - total solar production","2006","Kilowatt-hours, million","36",""
"Netherlands","Electricity - total solar production","2005","Kilowatt-hours, million","35",""
"Netherlands","Electricity - total solar production","2004","Kilowatt-hours, million","34",""
"Netherlands","Electricity - total solar production","2003","Kilowatt-hours, million","26",""
"Netherlands","Electricity - total solar production","2002","Kilowatt-hours, million","17",""
"Netherlands","Electricity - total solar production","2001","Kilowatt-hours, million","12",""
"Netherlands","Electricity - total solar production","2000","Kilowatt-hours, million","8",""
"Netherlands","Electricity - total solar production","1999","Kilowatt-hours, million","5",""
"Netherlands","Electricity - total solar production","1998","Kilowatt-hours, million","4",""
"Netherlands","Electricity - total solar production","1997","Kilowatt-hours, million","3",""
"Netherlands","Electricity - total solar production","1996","Kilowatt-hours, million","2",""
"Netherlands","Electricity - total solar production","1995","Kilowatt-hours, million","2",""
"Netherlands","Electricity - total solar production","1994","Kilowatt-hours, million","1",""
"Netherlands","Electricity - total solar production","1993","Kilowatt-hours, million","1",""
"Netherlands","Electricity - total solar production","1992","Kilowatt-hours, million","1",""
"Netherlands","Electricity - total solar production","1991","Kilowatt-hours, million","1",""
"New Caledonia","Electricity - total solar production","2014","Kilowatt-hours, million","4.54",""
"New Caledonia","Electricity - total solar production","2013","Kilowatt-hours, million","4.66",""
"New Caledonia","Electricity - total solar production","2012","Kilowatt-hours, million","4.8",""
"New Caledonia","Electricity - total solar production","2011","Kilowatt-hours, million","3.93",""
"New Caledonia","Electricity - total solar production","2010","Kilowatt-hours, million","3.35",""
"New Caledonia","Electricity - total solar production","2009","Kilowatt-hours, million","0.6",""
"New Caledonia","Electricity - total solar production","2008","Kilowatt-hours, million","0.6",""
"New Zealand","Electricity - total solar production","2014","Kilowatt-hours, million","16",""
"New Zealand","Electricity - total solar production","2013","Kilowatt-hours, million","7",""
"New Zealand","Electricity - total solar production","2012","Kilowatt-hours, million","5",""
"Niger","Electricity - total solar production","2014","Kilowatt-hours, million","0.005","1"
"Niger","Electricity - total solar production","2013","Kilowatt-hours, million","0.005","1"
"Niger","Electricity - total solar production","2012","Kilowatt-hours, million","0.005","1"
"Niger","Electricity - total solar production","2011","Kilowatt-hours, million","0.005","1"
"Niger","Electricity - total solar production","2010","Kilowatt-hours, million","0.003",""
"Niger","Electricity - total solar production","2009","Kilowatt-hours, million","0.003",""
"Niger","Electricity - total solar production","2008","Kilowatt-hours, million","0.003",""
"Niger","Electricity - total solar production","2007","Kilowatt-hours, million","0.002",""
"Niger","Electricity - total solar production","2006","Kilowatt-hours, million","0.002",""
"Niger","Electricity - total solar production","2005","Kilowatt-hours, million","0.002",""
"Niue","Electricity - total solar production","2014","Kilowatt-hours, million","0.0666666666666667",""
"Niue","Electricity - total solar production","2013","Kilowatt-hours, million","0.0666666666666667",""
"Niue","Electricity - total solar production","2012","Kilowatt-hours, million","0.0644444444444444",""
"Niue","Electricity - total solar production","2011","Kilowatt-hours, million","0.0686111111111111",""
"Niue","Electricity - total solar production","2010","Kilowatt-hours, million","0.0669444444444444",""
"Niue","Electricity - total solar production","2009","Kilowatt-hours, million","0",""
"Other Asia","Electricity - total solar production","2014","Kilowatt-hours, million","552",""
"Other Asia","Electricity - total solar production","2013","Kilowatt-hours, million","338",""
"Other Asia","Electricity - total solar production","2012","Kilowatt-hours, million","276",""
